"time","frustration","engagement","meditation","short term engagement","long term engagement"
"20-04-2019 00:51:15:888","0.15879514448141996","0.05077279277791025","0.7544591329256439","0.5181536768444787","0.5024348214366959"
"20-04-2019 00:51:16:891","0.20063012710036204","0.008396293074996874","0.6398378649193699","0.34721939170156163","0.7869663929531534"
"20-04-2019 00:51:17:897","0.09633819594597898","0.12712076973782901","0.7719129434006768","0.6341634255065606","0.5126985542898541"
"20-04-2019 00:51:18:904","0.18457213805483422","0.19012088287290563","0.9559349252749765","0.4826042818002392","0.6730135558571844"
"20-04-2019 00:51:19:909","0.2260049734482243","0.2752412456218519","0.7276843156249957","0.5995582953224685","0.7190251902449695"
"20-04-2019 00:51:20:912","0.09331960233340177","0.20279840390409848","0.8622859826765074","0.4211423993724704","0.6628930921703535"
"20-04-2019 00:51:21:915","0.1673073939593074","0.04095985104699747","0.8828802682360122","0.46661207956470485","0.7414524736446186"
"20-04-2019 00:51:22:918","0.2538328834861335","0.22805309160463014","0.5276780825855053","0.5849294915660219","0.6548164259478388"
"20-04-2019 00:51:23:922","0.06345301044352117","0.013297205559357428","0.7691568172770203","0.44869075753422294","0.5016423823624324"
"20-04-2019 00:51:24:926","0.05099511928774979","0.10753017510550943","0.6860959942589634","0.6231666602983201","0.591235606006872"
"20-04-2019 00:51:25:927","0.0460182499799338","0.03238258641689571","0.6722540664838009","0.6315308070677894","0.5490266280182635"
"20-04-2019 00:51:26:932","0.2205753844401454","0.03562065531959804","0.7512884326362083","0.5626101680415259","0.7134503400030408"
"20-04-2019 00:51:27:934","0.05381915046663048","0.16864987841818105","0.5655448969386997","0.5135747059334774","0.7508619223415827"
"20-04-2019 00:51:28:940","0.12238045029164074","0.2286776946364273","0.522639572052539","0.49856811227900444","0.7432131024937622"
"20-04-2019 00:51:29:946","0.25804487984431734","0.26423218704103785","0.8687652093779038","0.4432378078991781","0.750050324395915"
"20-04-2019 00:51:30:950","0.03741890244056297","0.39762334665678956","0.9244012024380153","0.5486577698737352","0.5061727071939502"
"20-04-2019 00:51:31:953","0.226421875619222","0.11802731716578646","0.9594166898996586","0.34671736631133365","0.5084025421979053"
"20-04-2019 00:51:32:955","0.21035247726598016","0.26511773294796254","0.5514319878534227","0.36323782752833195","0.7594854212246918"
