timestamp,Agreement,Concentrating,Disagreement,Interested,Thinking,Unsure
03-04-2019 05:16:19:786,0.7148189187646918,0.22616691573495729,0.7358777619543718,0.9395714230621164,0.012011947870460338,0.3794944627941912 
03-04-2019 05:16:19:823,0.4315609945415191,0.25834639612881516,0.3957942064205896,0.38949401687474383,0.11280913115285773,0.47135051176995124 
03-04-2019 05:16:19:859,0.870410938326378,0.31144045884559934,0.33834308714517136,0.4106405633539837,0.6574113777634246,0.38537493118096056 
03-04-2019 05:16:19:898,0.2638684372522714,0.8960248760655135,0.07212899512770465,0.4934493237516854,0.8491704490790939,0.32190233120335854 
03-04-2019 05:16:19:936,0.18513608903447654,0.37211238421264214,0.5526711629571432,0.5487539572922155,0.9266267174190794,0.5605055554937978 
03-04-2019 05:16:19:972,0.007988754436543677,0.9176040426710048,0.9226551555227517,0.6611338415196691,0.7958388804722291,0.8181364937052863 
03-04-2019 05:16:20:11,0.8307859305365329,0.019010881462371954,0.7964318269255386,0.33940940440640177,0.2767567223412477,0.1904031984370127 
03-04-2019 05:16:20:49,0.15313156306472786,0.13560743180337254,0.7521232902070372,0.7862583634634069,0.34889189888077,0.16460362906510062 
03-04-2019 05:16:20:84,0.7123451675642365,0.8544689287347483,0.4180065173200469,0.21906973214476577,0.31854205590922224,0.7105588131879678 
03-04-2019 05:16:20:119,0.005733722555904763,0.5358190632432921,0.42059958860986946,0.0889417606883901,0.8969243345694189,0.8391435846497228 
03-04-2019 05:16:20:156,0.788208849885504,0.8135279346048574,0.142319193304982,0.9770950184524188,0.6048243429523986,0.5081080274495048 
03-04-2019 05:16:20:194,0.9966744831979322,0.44904778503056164,0.4598410787765891,0.6196701874248296,0.8801702652882277,0.26259900834159533 
03-04-2019 05:16:20:232,0.8860321679528859,0.7199407686321979,0.22209380566335812,0.22766036323905847,0.21921648499261792,0.9879410541270901 
03-04-2019 05:16:20:268,0.9841738005664606,0.618276427470978,0.5849601953096025,0.8161962203574383,0.15729747061929622,0.3713618685338592 
03-04-2019 05:16:20:310,0.6588699266007441,0.2346146076791613,0.6126798402843575,0.9509612327175422,0.7270316195228517,0.8570387312306247 
03-04-2019 05:16:20:345,0.0630497898991419,0.8321659542758717,0.15028088990160604,0.33709417093203087,0.6164626840376052,0.9024131754039967 
03-04-2019 05:16:20:381,0.6381421674201971,0.3515823873625794,0.41855616808396723,0.6870545619477734,0.25437542659372303,0.10637766444490404 
03-04-2019 05:16:20:415,0.5215920774236065,0.48572359562777134,0.3366957816889281,0.06921056415149485,0.33981223096865143,0.9257603959420194 
