time, agreement, concentrating, disagreement, interested, thinking, unsure, heartrate
25794.109,0.4,0.6,0.3,0.1,0.2,0.4,0.5147917219650349
25795.11,0.4,0.6,0.3,0.1,0.2,0.4,0.5147917219650349
25796.113999999998,0.4,0.6,0.3,0.1,0.2,0.4,0.5147917219650349
25797.115,0.4,0.6,0.3,0.1,0.2,0.4,0.5147917219650349
25798.116,0.4,0.6,0.3,0.1,0.2,0.4,0.5147917219650349
25799.12,0.4,0.6,0.3,0.1,0.2,0.4,0.5147917219650349
25800.124,0.4,0.6,0.3,0.1,0.2,0.4,0.5147917219650349
25801.126,0.4,0.6,0.3,0.1,0.2,0.4,0.5147917219650349
25802.131,0.4,0.6,0.3,0.1,0.2,0.4,0.5147917219650349
25803.132999999998,0.4,0.6,0.3,0.1,0.2,0.4,0.5147917219650349
25804.138,0.4,0.6,0.3,0.1,0.2,0.4,0.5147917219650349
25805.144,0.4,0.6,0.3,0.1,0.2,0.4,0.5147917219650349
25806.147999999997,0.4,0.6,0.3,0.1,0.2,0.4,0.5147917219650349
25807.15,0.4,0.6,0.3,0.1,0.2,0.4,0.5147917219650349
25808.153,0.4,0.6,0.3,0.1,0.2,0.4,0.5147917219650349
25809.155,0.4,0.6,0.3,0.1,0.2,0.4,0.5147917219650349
25810.158,0.4,0.6,0.3,0.1,0.2,0.4,0.5147917219650349
25811.161,0.4,0.6,0.3,0.1,0.2,0.4,0.5147917219650349
25812.161,0.4,0.6,0.3,0.1,0.2,0.4,0.5147917219650349
25813.166,0.4,0.6,0.3,0.1,0.2,0.4,0.5147917219650349
25814.168999999998,0.4,0.6,0.3,0.1,0.2,0.4,0.5147917219650349
25815.173,0.4,0.6,0.3,0.1,0.2,0.4,0.5147917219650349
25816.178,0.4,0.6,0.3,0.1,0.2,0.4,0.5147917219650349
25817.178,0.4,0.6,0.3,0.1,0.2,0.4,0.5147917219650349
25818.182999999997,0.4,0.6,0.3,0.1,0.2,0.4,0.5147917219650349
25819.183999999997,0.4,0.6,0.3,0.1,0.2,0.4,0.5147917219650349
25820.188,0.4,0.6,0.3,0.1,0.2,0.4,0.5147917219650349
25821.193,0.4,0.6,0.3,0.1,0.2,0.4,0.5147917219650349
25822.196,0.4,0.6,0.3,0.1,0.2,0.4,0.5147917219650349
25823.2,0.4,0.6,0.3,0.1,0.2,0.4,0.5147917219650349
25824.2,0.4,0.6,0.3,0.1,0.2,0.4,0.5147917219650349
25825.202999999998,0.4,0.6,0.3,0.1,0.2,0.4,0.5147917219650349
25826.203999999998,0.4,0.6,0.3,0.1,0.2,0.4,0.5147917219650349
25827.203999999998,0.4,0.6,0.3,0.1,0.2,0.4,0.5147917219650349
25828.209,0.4,0.6,0.3,0.1,0.2,0.4,0.5147917219650349
25829.212000000003,0.4,0.6,0.3,0.1,0.2,0.4,0.5147917219650349
25830.217,0.4,0.6,0.3,0.1,0.2,0.4,0.5147917219650349
25831.217999999997,0.4,0.6,0.3,0.1,0.2,0.4,0.5147917219650349
25832.218999999997,0.4,0.6,0.3,0.1,0.2,0.4,0.5147917219650349
25833.22,0.4,0.6,0.3,0.1,0.2,0.4,0.5147917219650349
25834.224,0.4,0.6,0.3,0.1,0.2,0.4,0.5147917219650349
25835.228,0.4,0.6,0.3,0.1,0.2,0.4,0.5147917219650349
25836.232999999997,0.4,0.6,0.3,0.1,0.2,0.4,0.5147917219650349
25837.237,0.4,0.6,0.3,0.1,0.2,0.4,0.5147917219650349
25838.24,0.4,0.6,0.3,0.1,0.2,0.4,0.5147917219650349
25839.243,0.4,0.6,0.3,0.1,0.2,0.4,0.5147917219650349
25840.245,0.4,0.6,0.3,0.1,0.2,0.4,0.5147917219650349
25841.247000000003,0.4,0.6,0.3,0.1,0.2,0.4,0.5147917219650349
25842.249,0.4,0.6,0.3,0.1,0.2,0.4,0.5147917219650349
25843.252,0.4,0.6,0.3,0.1,0.2,0.4,0.5147917219650349
25844.257,0.4,0.6,0.3,0.1,0.2,0.4,0.5147917219650349
25845.259,0.4,0.6,0.3,0.1,0.2,0.4,0.5147917219650349
25846.261,0.4,0.6,0.3,0.1,0.2,0.4,0.5147917219650349
25847.264,0.4,0.6,0.3,0.1,0.2,0.4,0.5147917219650349
25848.267999999996,0.4,0.6,0.3,0.1,0.2,0.4,0.5147917219650349
25849.27,0.4,0.6,0.3,0.1,0.2,0.4,0.5147917219650349
25850.273999999998,0.4,0.6,0.3,0.1,0.2,0.4,0.5147917219650349
25838.031000000003,0.39999999999999997,0.6000000000000001,0.30000000000000004,0.09999999999999999,0.19999999999999998,0.39999999999999997,0.734682472
25839.034,0.39999999999999997,0.6000000000000001,0.30000000000000004,0.09999999999999999,0.19999999999999998,0.39999999999999997,0.313392295
25840.039,0.39999999999999997,0.6000000000000001,0.30000000000000004,0.09999999999999999,0.19999999999999998,0.39999999999999997,0.8849176670000001
25841.042999999998,0.39999999999999997,0.6000000000000001,0.30000000000000004,0.09999999999999999,0.19999999999999998,0.39999999999999997,0.44807551700000003
25842.048,0.39999999999999997,0.6000000000000001,0.30000000000000004,0.09999999999999999,0.19999999999999998,0.39999999999999997,0.138082512
25843.051,0.39999999999999997,0.6000000000000001,0.30000000000000004,0.09999999999999999,0.19999999999999998,0.39999999999999997,0.37930684299999995
25844.053,0.39999999999999997,0.6000000000000001,0.30000000000000004,0.09999999999999999,0.19999999999999998,0.39999999999999997,0.457928179
25845.055,0.39999999999999997,0.6000000000000001,0.30000000000000004,0.09999999999999999,0.19999999999999998,0.39999999999999997,0.671784947
25846.057999999997,0.39999999999999997,0.6000000000000001,0.30000000000000004,0.09999999999999999,0.19999999999999998,0.39999999999999997,0.138648252
25847.063,0.39999999999999997,0.6000000000000001,0.30000000000000004,0.09999999999999999,0.19999999999999998,0.39999999999999997,0.793178743
25848.067000000003,0.39999999999999997,0.6000000000000001,0.30000000000000004,0.09999999999999999,0.19999999999999998,0.39999999999999997,0.577363215
25849.068,0.39999999999999997,0.6000000000000001,0.30000000000000004,0.09999999999999999,0.19999999999999998,0.39999999999999997,0.072104246
25850.069,0.39999999999999997,0.6000000000000001,0.30000000000000004,0.09999999999999999,0.19999999999999998,0.39999999999999997,0.42833103100000003
25851.071,0.39999999999999997,0.6000000000000001,0.30000000000000004,0.09999999999999999,0.19999999999999998,0.39999999999999997,0.050386912
25852.072999999997,0.39999999999999997,0.6000000000000001,0.30000000000000004,0.09999999999999999,0.19999999999999998,0.39999999999999997,0.372599377
25853.076,0.39999999999999997,0.6000000000000001,0.30000000000000004,0.09999999999999999,0.19999999999999998,0.39999999999999997,0.580873103
25854.08,0.39999999999999997,0.6000000000000001,0.30000000000000004,0.09999999999999999,0.19999999999999998,0.39999999999999997,0.11975319599999999
25855.083,0.39999999999999997,0.6000000000000001,0.30000000000000004,0.09999999999999999,0.19999999999999998,0.39999999999999997,0.552850284
25856.087000000003,0.39999999999999997,0.6000000000000001,0.30000000000000004,0.09999999999999999,0.19999999999999998,0.39999999999999997,0.8298870159999999
25857.09,0.39999999999999997,0.6000000000000001,0.30000000000000004,0.09999999999999999,0.19999999999999998,0.39999999999999997,0.110628313
25858.095,0.39999999999999997,0.6000000000000001,0.30000000000000004,0.09999999999999999,0.19999999999999998,0.39999999999999997,0.154922166
25859.097999999998,0.39999999999999997,0.6000000000000001,0.30000000000000004,0.09999999999999999,0.19999999999999998,0.39999999999999997,0.5195665270000001
25860.101000000002,0.39999999999999997,0.6000000000000001,0.30000000000000004,0.09999999999999999,0.19999999999999998,0.39999999999999997,0.5654942820000001
25861.104,0.39999999999999997,0.6000000000000001,0.30000000000000004,0.09999999999999999,0.19999999999999998,0.39999999999999997,0.670961151
25862.107000000004,0.39999999999999997,0.6000000000000001,0.30000000000000004,0.09999999999999999,0.19999999999999998,0.39999999999999997,0.585085011
25863.11,0.39999999999999997,0.6000000000000001,0.30000000000000004,0.09999999999999999,0.19999999999999998,0.39999999999999997,0.486530079
25864.112,0.39999999999999997,0.6000000000000001,0.30000000000000004,0.09999999999999999,0.19999999999999998,0.39999999999999997,0.294713921
25865.116,0.39999999999999997,0.6000000000000001,0.30000000000000004,0.09999999999999999,0.19999999999999998,0.39999999999999997,0.9591570779999999
25866.121,0.39999999999999997,0.6000000000000001,0.30000000000000004,0.09999999999999999,0.19999999999999998,0.39999999999999997,0.8128184509999999
25867.126,0.39999999999999997,0.6000000000000001,0.30000000000000004,0.09999999999999999,0.19999999999999998,0.39999999999999997,0.164126257
25868.131,0.39999999999999997,0.6000000000000001,0.30000000000000004,0.09999999999999999,0.19999999999999998,0.39999999999999997,0.9750348990000001
25869.135,0.39999999999999997,0.6000000000000001,0.30000000000000004,0.09999999999999999,0.19999999999999998,0.39999999999999997,0.599952713
25870.141,0.39999999999999997,0.6000000000000001,0.30000000000000004,0.09999999999999999,0.19999999999999998,0.39999999999999997,0.7321758159999999
25871.146,0.39999999999999997,0.6000000000000001,0.30000000000000004,0.09999999999999999,0.19999999999999998,0.39999999999999997,0.616387931
25872.148999999998,0.39999999999999997,0.6000000000000001,0.30000000000000004,0.09999999999999999,0.19999999999999998,0.39999999999999997,0.712132257
25873.151,0.39999999999999997,0.6000000000000001,0.30000000000000004,0.09999999999999999,0.19999999999999998,0.39999999999999997,0.29615978
25874.151,0.39999999999999997,0.6000000000000001,0.30000000000000004,0.09999999999999999,0.19999999999999998,0.39999999999999997,0.328689233
25875.154,0.39999999999999997,0.6000000000000001,0.30000000000000004,0.09999999999999999,0.19999999999999998,0.39999999999999997,0.95403911
25876.157000000003,0.39999999999999997,0.6000000000000001,0.30000000000000004,0.09999999999999999,0.19999999999999998,0.39999999999999997,0.908930537
25877.157000000003,0.39999999999999997,0.6000000000000001,0.30000000000000004,0.09999999999999999,0.19999999999999998,0.39999999999999997,0.770068889
25878.158,0.39999999999999997,0.6000000000000001,0.30000000000000004,0.09999999999999999,0.19999999999999998,0.39999999999999997,0.70825139
25879.162,0.39999999999999997,0.6000000000000001,0.30000000000000004,0.09999999999999999,0.19999999999999998,0.39999999999999997,0.992040096
25880.166,0.39999999999999997,0.6000000000000001,0.30000000000000004,0.09999999999999999,0.19999999999999998,0.39999999999999997,0.8108472879999999
25881.171000000002,0.39999999999999997,0.6000000000000001,0.30000000000000004,0.09999999999999999,0.19999999999999998,0.39999999999999997,0.524960992
25882.171000000002,0.39999999999999997,0.6000000000000001,0.30000000000000004,0.09999999999999999,0.19999999999999998,0.39999999999999997,0.712378237
25883.175,0.39999999999999997,0.6000000000000001,0.30000000000000004,0.09999999999999999,0.19999999999999998,0.39999999999999997,0.6123871989999999
25884.176,0.39999999999999997,0.6000000000000001,0.30000000000000004,0.09999999999999999,0.19999999999999998,0.39999999999999997,0.554425006
25885.177000000003,0.39999999999999997,0.6000000000000001,0.30000000000000004,0.09999999999999999,0.19999999999999998,0.39999999999999997,0.13671756699999998
25886.181,0.39999999999999997,0.6000000000000001,0.30000000000000004,0.09999999999999999,0.19999999999999998,0.39999999999999997,0.24708065
25887.185,0.39999999999999997,0.6000000000000001,0.30000000000000004,0.09999999999999999,0.19999999999999998,0.39999999999999997,0.894209197
25888.189,0.39999999999999997,0.6000000000000001,0.30000000000000004,0.09999999999999999,0.19999999999999998,0.39999999999999997,0.061911292
