"time"," agreement"," concentrating"," disagreement"," interested"," thinking"," unsure"
,,,,,,
"67835.014","0.8","0.7","0.9","0.7","0.3","0.5 "
"67836.015","0.8","0.7","0.9","0.7","0.3","0.5 "
"67837.018","0.8","0.7","0.9","0.7","0.3","0.5 "
"67838.02100000001","0.8","0.7","0.9","0.7","0.3","0.5 "
"67839.023","0.8","0.7","0.9","0.7","0.3","0.5 "
"67840.029","0.8","0.7","0.9","0.7","0.3","0.5 "
"67841.034","0.8","0.7","0.9","0.7","0.3","0.5 "
"67842.039","0.8","0.7","0.9","0.7","0.3","0.5 "
"67843.043","0.8","0.7","0.9","0.7","0.3","0.5 "
"67844.048","0.8","0.7","0.9","0.7","0.3","0.5 "
"67845.049","0.8","0.7","0.9","0.7","0.3","0.5 "
"67846.05","0.8","0.7","0.9","0.7","0.3","0.5 "
"67847.052","0.8","0.7","0.9","0.7","0.3","0.5 "
"67848.053","0.8","0.7","0.9","0.7","0.3","0.5 "
"67849.05500000001","0.8","0.7","0.9","0.7","0.3","0.5 "
"67850.056","0.8","0.7","0.9","0.7","0.3","0.5 "
"67851.056","0.8","0.7","0.9","0.7","0.3","0.5 "
"67852.062","0.8","0.7","0.9","0.7","0.3","0.5 "
"67853.067","0.8","0.7","0.9","0.7","0.3","0.5 "
"67854.073","0.8","0.7","0.9","0.7","0.3","0.5 "
"67855.077","0.8","0.7","0.9","0.7","0.3","0.5 "
"67856.082","0.8","0.7","0.9","0.7","0.3","0.5 "
"67857.084","0.8","0.7","0.9","0.7","0.3","0.5 "
"67858.087","0.8","0.7","0.9","0.7","0.3","0.5 "
"67859.091","0.8","0.7","0.9","0.7","0.3","0.5 "
"67860.096","0.8","0.7","0.9","0.7","0.3","0.5 "
"67861.102","0.8","0.7","0.9","0.7","0.3","0.5 "
"67862.107","0.8","0.7","0.9","0.7","0.3","0.5 "
"67863.109","0.8","0.7","0.9","0.7","0.3","0.5 "
"67864.113","0.8","0.7","0.9","0.7","0.3","0.5 "
"67865.117","0.8","0.7","0.9","0.7","0.3","0.5 "
"67866.119","0.8","0.7","0.9","0.7","0.3","0.5 "
"67867.124","0.8","0.7","0.9","0.7","0.3","0.5 "
"67868.125","0.8","0.7","0.9","0.7","0.3","0.5 "
"67869.13100000001","0.8","0.7","0.9","0.7","0.3","0.5 "
"67870.133","0.8","0.7","0.9","0.7","0.3","0.5 "
"67871.136","0.8","0.7","0.9","0.7","0.3","0.5 "
"67872.142","0.8","0.7","0.9","0.7","0.3","0.5 "
"67873.147","0.8","0.7","0.9","0.7","0.3","0.5 "
"67874.151","0.8","0.7","0.9","0.7","0.3","0.5 "
"67875.154","0.8","0.7","0.9","0.7","0.3","0.5 "
"67876.155","0.8","0.7","0.9","0.7","0.3","0.5 "
"67877.16","0.8","0.7","0.9","0.7","0.3","0.5 "
"67878.163","0.8","0.7","0.9","0.7","0.3","0.5 "
"67879.164","0.8","0.7","0.9","0.7","0.3","0.5 "
"67880.17","0.8","0.7","0.9","0.7","0.3","0.5 "
"67881.173","0.8","0.7","0.9","0.7","0.3","0.5 "
"67882.179","0.8","0.7","0.9","0.7","0.3","0.5 "
"67883.182","0.8","0.7","0.9","0.7","0.3","0.5 "
"67884.187","0.8","0.7","0.9","0.7","0.3","0.5 "
"67885.193","0.8","0.7","0.9","0.7","0.3","0.5 "
"67886.195","0.8","0.7","0.9","0.7","0.3","0.5 "
"67887.201","0.8","0.7","0.9","0.7","0.3","0.5 "
"67888.206","0.8","0.7","0.9","0.7","0.3","0.5 "
