"time","frustration","engagement","meditation","short term engagement","long term engagement"
"19-04-2019 18:39:55:251","0.15550380150446586","0.2624478408753838","0.038195180285243026","0.9399633947456225","0.5997285341068903"
"19-04-2019 18:39:56:253","0.08863176808496243","0.8891455083678345","0.1234543948354818","0.8211514243642992","0.6542647909713895"
"19-04-2019 18:39:57:254","0.00797718977928783","1.0331175908370982","0.13387618781807295","0.7544317220837413","0.9915746101221209"
"19-04-2019 18:39:58:255","0.3839787600886462","0.6463929639848364","0.17511275364178114","0.662957978223234","0.893076177848477"
"19-04-2019 18:39:59:260","0.030410470482539066","1.1625442921140179","0.14451776137863823","0.8023427060604942","0.59508353595753"
"19-04-2019 18:40:00:263","0.17663897076175017","0.7304447128103435","0.18963113191526904","0.8507676389274619","0.9928932895258253"
"19-04-2019 18:40:01:266","0.3118563555251813","0.46207812616667915","0.12015278469395907","0.521003605925475","0.8189905308037242"
"19-04-2019 18:40:02:270","0.058603013614896726","1.2583988171935114","0.17844899229999237","0.6828206972016018","0.7254272695005238"
"19-04-2019 18:40:03:273","0.2671811194703425","0.11927245777888905","0.1245280129369075","0.8573246354850003","0.5251061875848247"
"19-04-2019 18:40:04:279","0.2557482323483438","0.47511974031298154","0.19562757991091878","0.7061230421434235","0.5284982217761474"
"19-04-2019 18:40:05:280","0.29391607325227714","0.3192720822559686","0.16073614756838847","0.6244408754822046","0.9401777041479996"
"19-04-2019 18:40:06:283","0.18049318958106372","1.0465642996250675","0.17690709214635092","0.7494138092320504","0.5264393586138416"
"19-04-2019 18:40:07:358","0.021843532876803542","0.4781000965357234","0.13581772475345608","0.730162260308215","0.7881588817311764"
"19-04-2019 18:40:08:362","0.14869855618913283","0.1600680176539192","0.1283914894583312","0.5449108370273614","0.8082559279359711"
"19-04-2019 18:40:09:366","0.25669416941005263","0.16220417883028096","0.0896488365124629","0.9361885116523632","0.7324133954629448"
"19-04-2019 18:40:10:368","0.37355594019849053","0.08843554249614505","0.18173400754658495","0.9266945404655015","0.8189132798930321"
"19-04-2019 18:40:11:372","0.1716962360689761","0.08804721262579612","0.18453276420864662","0.9822548805544353","0.901733915530359"
"19-04-2019 18:40:12:377","0.29202883925191786","0.8727117937267193","0.1580140195274704","0.5366746817990935","0.9955811783019738"
"19-04-2019 18:40:13:378","0.2384683205127639","0.9019901434697098","0.18409435950577607","0.9119897046015459","0.9332242080622175"
"19-04-2019 18:40:14:381","0.12202970542655374","1.1473440346443475","0.10541640975720734","0.9312094997419383","0.5319374505223095"
"19-04-2019 18:40:15:386","0.3138062641027487","0.8652795993313878","0.10588984535265321","0.7044490146633164","0.7171371634116446"
"19-04-2019 18:40:16:388","0.08125525373552334","0.8084014876383088","0.09075500295033921","0.7548314377090262","0.562878233101167"
